policy,policy_label,seq_length,seed,hits,misses,evictions,accesses,hit_rate,prefetch_issued,prefetch_hits,prefetch_waste
fifo,FIFO,512,5,10754,4512,4480,15266,0.704441,0,0,0
lru,LRU,512,5,11332,3934,3902,15266,0.742303,0,0,0
learned_rd,Learned-RD (DT),512,5,11098,4168,4136,15266,0.726975,0,0,0
learned_rf,Learned-RF,512,5,11272,3994,3962,15266,0.738373,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,512,5,11098,4168,4136,15266,0.726975,0,0,0
fifo,FIFO,512,6,10936,6182,6150,17118,0.63886,0,0,0
lru,LRU,512,6,11705,5413,5381,17118,0.683783,0,0,0
learned_rd,Learned-RD (DT),512,6,11851,5267,5235,17118,0.692312,0,0,0
learned_rf,Learned-RF,512,6,12085,5033,5001,17118,0.705982,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,512,6,11851,5267,5235,17118,0.692312,0,0,0
fifo,FIFO,512,7,9397,4433,4401,13830,0.679465,0,0,0
lru,LRU,512,7,10066,3764,3732,13830,0.727838,0,0,0
learned_rd,Learned-RD (DT),512,7,10328,3502,3470,13830,0.746782,0,0,0
learned_rf,Learned-RF,512,7,10386,3444,3412,13830,0.750976,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,512,7,10328,3502,3470,13830,0.746782,0,0,0
fifo,FIFO,512,8,9812,4414,4382,14226,0.689723,0,0,0
lru,LRU,512,8,10462,3764,3732,14226,0.735414,0,0,0
learned_rd,Learned-RD (DT),512,8,10602,3624,3592,14226,0.745255,0,0,0
learned_rf,Learned-RF,512,8,10615,3611,3579,14226,0.746169,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,512,8,10602,3624,3592,14226,0.745255,0,0,0
fifo,FIFO,512,9,10539,5431,5399,15970,0.659925,0,0,0
lru,LRU,512,9,11537,4433,4401,15970,0.722417,0,0,0
learned_rd,Learned-RD (DT),512,9,11314,4656,4624,15970,0.708453,0,0,0
learned_rf,Learned-RF,512,9,11542,4428,4396,15970,0.72273,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,512,9,11314,4656,4624,15970,0.708453,0,0,0
fifo,FIFO,1024,5,11927,47354,47322,59281,0.201194,0,0,0
lru,LRU,1024,5,21632,37649,37617,59281,0.364906,0,0,0
learned_rd,Learned-RD (DT),1024,5,25167,34114,34082,59281,0.424537,0,0,0
learned_rf,Learned-RF,1024,5,25483,33798,33766,59281,0.429868,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,1024,5,25167,34114,34082,59281,0.424537,0,0,0
fifo,FIFO,1024,6,12011,54384,54352,66395,0.180902,0,0,0
lru,LRU,1024,6,23134,43261,43229,66395,0.34843,0,0,0
learned_rd,Learned-RD (DT),1024,6,26649,39746,39714,66395,0.401371,0,0,0
learned_rf,Learned-RF,1024,6,27304,39091,39059,66395,0.411236,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,1024,6,26649,39746,39714,66395,0.401371,0,0,0
fifo,FIFO,1024,7,12692,40647,40615,53339,0.23795,0,0,0
lru,LRU,1024,7,20309,33030,32998,53339,0.380753,0,0,0
learned_rd,Learned-RD (DT),1024,7,23606,29733,29701,53339,0.442565,0,0,0
learned_rf,Learned-RF,1024,7,23964,29375,29343,53339,0.449277,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,1024,7,23606,29733,29701,53339,0.442565,0,0,0
fifo,FIFO,1024,8,12424,42613,42581,55037,0.225739,0,0,0
lru,LRU,1024,8,20026,35011,34979,55037,0.363864,0,0,0
learned_rd,Learned-RD (DT),1024,8,24172,30865,30833,55037,0.439195,0,0,0
learned_rf,Learned-RF,1024,8,24308,30729,30697,55037,0.441667,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,1024,8,24172,30865,30833,55037,0.439195,0,0,0
fifo,FIFO,1024,9,12259,49704,49672,61963,0.197844,0,0,0
lru,LRU,1024,9,21032,40931,40899,61963,0.339428,0,0,0
learned_rd,Learned-RD (DT),1024,9,25599,36364,36332,61963,0.413134,0,0,0
learned_rf,Learned-RF,1024,9,26092,35871,35839,61963,0.42109,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,1024,9,25599,36364,36332,61963,0.413134,0,0,0
fifo,FIFO,2048,5,11927,220239,220207,232166,0.051373,0,0,0
lru,LRU,2048,5,43540,188626,188594,232166,0.187538,0,0,0
learned_rd,Learned-RD (DT),2048,5,52644,179522,179490,232166,0.226752,0,0,0
learned_rf,Learned-RF,2048,5,54177,177989,177957,232166,0.233355,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,2048,5,52644,179522,179490,232166,0.226752,0,0,0
fifo,FIFO,2048,6,12011,248961,248929,260972,0.046024,0,0,0
lru,LRU,2048,6,44918,216054,216022,260972,0.172118,0,0,0
learned_rd,Learned-RD (DT),2048,6,56086,204886,204854,260972,0.214912,0,0,0
learned_rf,Learned-RF,2048,6,57634,203338,203306,260972,0.220844,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,2048,6,56086,204886,204854,260972,0.214912,0,0,0
fifo,FIFO,2048,7,12692,196802,196770,209494,0.060584,0,0,0
lru,LRU,2048,7,39953,169541,169509,209494,0.190712,0,0,0
learned_rd,Learned-RD (DT),2048,7,50133,159361,159329,209494,0.239305,0,0,0
learned_rf,Learned-RF,2048,7,51158,158336,158304,209494,0.244198,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,2048,7,50133,159361,159329,209494,0.239305,0,0,0
fifo,FIFO,2048,8,12424,203455,203423,215879,0.057551,0,0,0
lru,LRU,2048,8,40689,175190,175158,215879,0.188481,0,0,0
learned_rd,Learned-RD (DT),2048,8,51243,164636,164604,215879,0.237369,0,0,0
learned_rf,Learned-RF,2048,8,51884,163995,163963,215879,0.240338,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,2048,8,51243,164636,164604,215879,0.237369,0,0,0
fifo,FIFO,2048,9,12259,231028,230996,243287,0.050389,0,0,0
lru,LRU,2048,9,41856,201431,201399,243287,0.172044,0,0,0
learned_rd,Learned-RD (DT),2048,9,53950,189337,189305,243287,0.221755,0,0,0
learned_rf,Learned-RF,2048,9,55148,188139,188107,243287,0.226679,0,0,0
learned_rd_prefetch,Learned-RD+Prefetch,2048,9,53950,189337,189305,243287,0.221755,0,0,0
